bench,bpred,size,frmt,metric,value
gcc,gshare,128KB,1,lookups,2338740
gcc,gshare,128KB,1,updates,2060457
gcc,gshare,128KB,1,addr_hits,1835245
gcc,gshare,128KB,1,dir_hits,1896353
gcc,gshare,128KB,1,misses,164104
gcc,gshare,128KB,1,jr_hits,134995
gcc,gshare,128KB,1,jr_seen,174461
gcc,gshare,128KB,1,jr_non_ras_hits.PP,17126
gcc,gshare,128KB,1,jr_non_ras_seen.PP,53076
gcc,gshare,128KB,1,bpred_addr_rate,0.8907
gcc,gshare,128KB,1,bpred_dir_rate,0.9204
gcc,gshare,128KB,1,bpred_jr_rate,0.7738
gcc,gshare,128KB,1,bpred_jr_non_ras_rate.PP,0.3227
gcc,gshare,128KB,1,retstack_pushes,149530
gcc,gshare,128KB,1,retstack_pops,135982
gcc,gshare,128KB,1,used_ras.PP,121385
gcc,gshare,128KB,1,ras_hits.PP,117869
gcc,gshare,128KB,1,ras_rate.PP,0.9710
gcc,gshare,128KB,1,reverse_lookups,2060457
gcc,gshare,128KB,1,reverse_updates,2060457
gcc,gshare,128KB,1,reverse_addr_hits,1893846
gcc,gshare,128KB,1,reverse_dir_hits,1950305
gcc,gshare,128KB,1,reverse_misses,110152
gcc,gshare,128KB,1,reverse_jr_hits,138533
gcc,gshare,128KB,1,reverse_jr_seen,174461
gcc,gshare,128KB,1,reverse_jr_non_ras_hits.PP,17148
gcc,gshare,128KB,1,reverse_jr_non_ras_seen.PP,53076
gcc,gshare,128KB,1,reverse_bpred_addr_rate,0.9191
gcc,gshare,128KB,1,reverse_bpred_dir_rate,0.9465
gcc,gshare,128KB,1,reverse_bpred_jr_rate,0.7941
gcc,gshare,128KB,1,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,gshare,128KB,1,reverse_retstack_pushes,121385
gcc,gshare,128KB,1,reverse_retstack_pops,121396
gcc,gshare,128KB,1,reverse_used_ras.PP,121385
gcc,gshare,128KB,1,reverse_ras_hits.PP,121385
gcc,gshare,128KB,1,reverse_ras_rate.PP,1.0000
gcc,gshare,128KB,0,lookups,2338740
gcc,gshare,128KB,0,updates,2060457
gcc,gshare,128KB,0,addr_hits,1835245
gcc,gshare,128KB,0,dir_hits,1896353
gcc,gshare,128KB,0,misses,164104
gcc,gshare,128KB,0,jr_hits,134995
gcc,gshare,128KB,0,jr_seen,174461
gcc,gshare,128KB,0,jr_non_ras_hits.PP,17126
gcc,gshare,128KB,0,jr_non_ras_seen.PP,53076
gcc,gshare,128KB,0,bpred_addr_rate,0.8907
gcc,gshare,128KB,0,bpred_dir_rate,0.9204
